geoid,name,B01003001,"B01003001, Error"
05000US24033,"Prince George's County, MD",959754,
86000US20601,"20601",26945,1723
86000US20607,"20607",13750,1653
86000US20608,"20608",693,209
86000US20613,"20613",17590,1144
86000US20623,"20623",2761,519
86000US20705,"20705",28713,1967
86000US20706,"20706",42612,2517
86000US20707,"20707",37278,1391
86000US20708,"20708",27593,1866
86000US20710,"20710",9801,135
86000US20712,"20712",9563,474
86000US20715,"20715",26915,1297
86000US20716,"20716",22362,1254
86000US20720,"20720",25015,1956
86000US20721,"20721",31032,2069
86000US20722,"20722",6264,631
86000US20735,"20735",37464,1638
86000US20737,"20737",24489,1882
86000US20740,"20740",36847,690
86000US20742,"20742",4350,484
86000US20743,"20743",41093,1928
86000US20744,"20744",54441,2613
86000US20745,"20745",28605,2125
86000US20746,"20746",27156,1854
86000US20747,"20747",38301,2219
86000US20748,"20748",40338,2749
86000US20762,"20762",3130,447
86000US20769,"20769",6947,1145
86000US20770,"20770",28384,766
86000US20771,"20771",0,14
86000US20772,"20772",54319,2487
86000US20774,"20774",51816,2230
86000US20781,"20781",13352,1219
86000US20782,"20782",34293,1964
86000US20783,"20783",50333,2678
86000US20784,"20784",33831,1843
86000US20785,"20785",40066,1832
86000US20903,"20903",24815,2066
86000US20904,"20904",58646,2626
86000US20912,"20912",25749,1214
