"Permit Number","Status","Street Number","Street Name","Street Suffix","Post-direction","City","State","ZIP code","Added Date","Issue Date","Final Date","Building Area","Declared Valuation","Description","Application Type","Work Type","Use Code","Pre-direction","Location"
"1008517","Finaled","12966","GRIFFIN","CIR",,"CLARKSBURG","MD","20871","09/30/2022","11/09/2022","08/25/2023","1,886","$187,000.00","Customer Wants To Use ePlans,Build MPDU TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.2510824 39.2308882)"
"1032581","Finaled","3013","PIANO","LN",,"SILVER SPRING","MD","20904","05/26/2023","06/14/2023","07/05/2023","900","$5,000.00","Customer Wants To Use ePlans,Add half bathroom on the main level. Install Non-load bearing walls.","BUILDING RESIDENTIAL PERMIT","ALTER","TOWNHOUSE",,"POINT (-76.94853802099993 39.07093700900003)"
"1015469","Finaled","19704","PRESERVATION","MEWS",,"MONTGOMERY VILLAGE","MD","20886","12/08/2022","01/19/2023","05/29/2023","1,938","$90,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.17618999999996 39.18638000000004)"
"1015470","Finaled","19702","PRESERVATION","MEWS",,"MONTGOMERY VILLAGE","MD","20886","12/08/2022","01/12/2023","05/29/2023","1,938","$90,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.17618999999996 39.18638000000004)"
"1023752","Finaled","8014","WARFIELD","RD",,"GAITHERSBURG","MD","20879","03/07/2023","04/03/2023","05/29/2023","240","$20,000.00","Customer Wants To Use ePlans,Construction of an open front porch with steps","BUILDING RESIDENTIAL PERMIT","ADD","TOWNHOUSE",,"POINT (-77.16398101199997 39.19255699900003)"
"1027160","Finaled","19737","BRASSIE","PL",,"MONTGOMERY VILLAGE","MD","20886","04/06/2023","05/30/2023","03/21/2024","2,176","$90,000.00","Customer Wants To Use ePlans,NEW TH LOT 22/H","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.202625638 39.177405031)"
"1064508","Finaled","20565","STRATH HAVEN","DR",,"MONTGOMERY VILLAGE","MD","20886","03/28/2024","03/28/2024","06/06/2024","169","$6,080.00","Customer Wants To Use ePlans,Installation of 8 roof mounted solar panels.","BUILDING RESIDENTIAL PERMIT","ALTER","TOWNHOUSE",,"POINT (-77.192771005 39.192373016)"
"1011493","Finaled","7028","ARTESA","LN",,"BETHESDA","MD","20817","10/27/2022","11/28/2022","07/25/2023","1,815","$300,000.00","Customer Wants To Use ePlans,Amalyn, Lot D011, 27MU, MPDU Interior Unit","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.1234374 39.0064501)"
"1024160","Finaled","19752","PRESERVATION","MEWS",,"MONTGOMERY VILLAGE","MD","20886","03/09/2023","04/28/2023","01/02/2024","1,938","$90,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.17619 39.18638)"
"1054757","Stop Work",,,,,,,,"01/02/2024","02/16/2024",,"1,581","$130,000.00","Customer Wants To Use ePlans,Model Home Abbey Elev. 12 #1570WAME","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,
"1054723","Finaled","10109","DALMATIAN","ST",,"ROCKVILLE","MD","20850","01/02/2024","02/01/2024","09/16/2024","3,961","$300,000.00","Customer Wants To Use ePlans,Site-specific Carderock model on lot 5B","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.1752479 39.0960292)"
"1054717","Finaled","10101","DALMATIAN","ST",,"ROCKVILLE","MD","20850","01/02/2024","01/30/2024","09/19/2024","3,394","$300,000.00","Customer Wants To Use ePlans,Site-specific Carderock model on lot 1B","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.1752479 39.0960292)"
"1054720","Finaled","10105","DALMATIAN","ST",,"ROCKVILLE","MD","20850","01/02/2024","02/06/2024","09/20/2024","3,977","$300,000.00","Customer Wants To Use ePlans,Site-specific Carderock model on lot 3B","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.1752479 39.0960292)"
"1054718","Finaled","10103","DALMATIAN","ST",,"ROCKVILLE","MD","20850","01/02/2024","01/30/2024","09/19/2024","3,744","$300,000.00","Customer Wants To Use ePlans,Site-specific Carderock model on lot 2B 3744 new 200 deck","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.1752479 39.0960292)"
"1029102","Finaled","22307","PLOVER","ST",,"CLARKSBURG","MD","20871","04/25/2023","05/25/2023","05/31/2023","222","$5,000.00","Customer Wants To Use ePlans, This application is to finish the garage as a sales office closing in the wall where the garage door is and adding a 6/8 door ILO the garage door.","BUILDING RESIDENTIAL PERMIT","ALTER","TOWNHOUSE",,
"1027569","Finaled","19721","BRASSIE","PL",,"MONTGOMERY VILLAGE","MD","20886","04/12/2023","06/07/2023","11/24/2023","2,173","$90,000.00","Customer Wants To Use ePlans,NEW TH LOT H/14","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.202625638 39.177405031)"
"1028866","Finaled","26409","SIR JAMIE","TER",,"DAMASCUS","MD","20872","04/24/2023","05/31/2023","01/26/2024","2,386","$250,000.00","Customer Wants To Use ePlans,Village At Damascus lot 24 BRADFORD Interior","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.2049921 39.2826721)"
"1024804","Finaled","19770","PRESERVATION","MEWS",,"MONTGOMERY VILLAGE","MD","20886","03/15/2023","05/31/2023","02/13/2024","1,959","$90,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.17619 39.18638)"
"1017935","Finaled","9731","TALL OAKS","RD",,"MONTGOMERY VILLAGE","MD","20886","01/09/2023","02/15/2023","05/31/2023","2,127","$175,000.00","Customer Wants To Use ePlans,NEW TH2127 SQ. FTCUSTOMER HAD 1846M. STUP","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.19607699499994 39.18524601000007)"
"1019265","Open","4500","WALSH","ST",,"CHEVY CHASE","MD","20815","01/23/2023",,,"7,350","$1,800,000.00","Customer Wants To Use ePlans,THIS PROJECT PROPOSES THREE NEW SINGLE-FAMILY TOWNHOUSE-STYLE APARTMENT UNITS SEPARATED BY A 2-HOUR FIREWALL. EACH UNIT HAS 4 LEVELS, A CELLAR, TWO STORIES, AND A PENTHOUSE WITH A ROOF DECK ON STORY 2 ALONG WITH AN INTERNAL GARAGE.SITE LOCATION:&nbsp; 4500 WALSH ST, CHEVY CHASE MD, 20815 - NEAREST CROSS STREET BEING WEST AVENUE","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.09011398099994 38.979253992000054)"
"1029417","Finaled","7749","HIAWATHA","LN",,"ROCKVILLE","MD","20855","04/27/2023","06/12/2023","02/27/2024","200","$75,000.00","Fire at neighbors house that spread over. Home repairs will put home back to prior loss condition, no changes.","BUILDING RESIDENTIAL PERMIT","RESTORE AND / OR REPAIR","TOWNHOUSE",,"POINT (-77.15792802 39.115640004)"
"1020353","Finaled","9827","POSTERITY","LN",,"MONTGOMERY VILLAGE","MD","20886","02/01/2023","03/24/2023","10/02/2023","1,728","$90,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.17619 39.18638)"
"1017937","Finaled","9727","TALL OAKS","RD",,"MONTGOMERY VILLAGE","MD","20886","01/09/2023","02/08/2023","06/01/2023","2,176","$175,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.19591203899995 39.185278993000054)"
"1032997","Finaled","12826","CLARKS CROSSING","DR",,"CLARKSBURG","MD","20871","06/01/2023","06/05/2023","07/19/2023","348","$58,081.00","Customer Wants To Use ePlans,Replace drywall to interior of garage , replace electric panel due to fire damge","BUILDING RESIDENTIAL PERMIT","RESTORE AND / OR REPAIR","TOWNHOUSE",,"POINT (-77.27137397799999 39.24508001600003)"
"1045359","Finaled","18704","BARN SWALLOW","TER",,"GAITHERSBURG","MD","20879","09/27/2023","10/23/2023","07/11/2024","600","$110,000.00","Customer Wants To Use ePlans  Interior work only,Building a new master bathroom upstairs, building a new closet, modifying hallway bathroom. Adding a window to the master-bathroom. Adding a bedroom to the basement. Installing egress window in basement new bedroom.","BUILDING RESIDENTIAL PERMIT","ALTER","TOWNHOUSE",,"POINT (-77.186579964 39.163318993)"
"1007013","Stop Work","19564","MONTGOMERY VILLAGE","AVE",,"MONTGOMERY VILLAGE","MD","20886","09/15/2022","12/01/2022","05/22/2023","1,728","$90,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.20154576299996 39.17915891000007)"
"1013931","Finaled","8084","INVERNESS RIDGE","RD",,"POTOMAC","MD","20854","11/22/2022","12/26/2022","06/04/2023","578","$160,000.00","Customer Wants To Use ePlans  Interior work only,Kitchen, Master suite, and Hall bath interior alteration","BUILDING RESIDENTIAL PERMIT","ALTER","TOWNHOUSE",,"POINT (-77.16514701799997 39.02907799400003)"
"1024161","Finaled","19750","PRESERVATION","MEWS",,"MONTGOMERY VILLAGE","MD","20886","03/09/2023","04/17/2023","01/03/2024","1,938","$90,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.17619 39.18638)"
"1032999","Finaled","11989","OLD COLUMBIA","PIKE",,"SILVER SPRING","MD","20904","06/01/2023","06/02/2023","10/10/2023","399","$25,200.00","Customer Wants To Use ePlans,Installation of a 8.4kw roof mounted solar system with 21 panels at 400 watts and 1 inverter.","BUILDING RESIDENTIAL PERMIT","ALTER","TOWNHOUSE",,"POINT (-76.975698991 39.051848021)"
"1024787","Finaled","19768","PRESERVATION","MEWS",,"MONTGOMERY VILLAGE","MD","20886","03/15/2023","06/02/2023","02/14/2024","1,938","$90,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.17619 39.18638)"
"1017936","Finaled","9729","TALL OAKS","RD",,"MONTGOMERY VILLAGE","MD","20886","01/09/2023","02/15/2023","06/02/2023","1,453","$175,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.19599401399995 39.18526000800006)"
"1020354","Finaled","9829","POSTERITY","LN",,"MONTGOMERY VILLAGE","MD","20886","02/01/2023","03/24/2023","10/06/2023","1,938","$90,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.17619 39.18638)"
"1024163","Stop Work","19748","PRESERVATION","MEWS",,"MONTGOMERY VILLAGE","MD","20886","03/09/2023","04/26/2023","01/03/2024","1,938","$90,000.00","Customer Wants To Use ePlans,NEW TH","BUILDING RESIDENTIAL PERMIT","CONSTRUCT","TOWNHOUSE",,"POINT (-77.17619 39.18638)"
