GEOID,tract_name,transit_need_index,transit_need_percentile,pct_households_no_vehicle,pct_people_below_poverty,pct_disabled,weekday_total_trips_accessible_2025_january,weekday_total_trips_accessible_change,weekend_total_trips_accessible_change,accessible_stop_count_change
24031701509,Census Tract 7015.09; Montgomery County; Maryland,0.6449662271820228,0.8663793103448276,17.0,21.2,10.0,2438.0,-1080.0,-690.0,-18.0
24031701414,Census Tract 7014.14; Montgomery County; Maryland,0.3362389748714182,0.8017241379310345,11.3,7.8,12.9,1715.0,-915.0,-575.0,-24.0
24031701415,Census Tract 7014.15; Montgomery County; Maryland,0.2420517547478993,0.7629310344827587,3.5,9.6,12.7,1392.0,-900.0,-575.0,-25.0
24031705502,Census Tract 7055.02; Montgomery County; Maryland,0.3937389463990141,0.8232758620689655,5.5,9.3,13.5,1739.0,-789.0,-993.0,-21.0
24031701425,Census Tract 7014.25; Montgomery County; Maryland,1.6575778245846404,0.978448275862069,20.3,5.4,24.0,1854.0,-648.0,-414.0,-16.0
24031701218,Census Tract 7012.18; Montgomery County; Maryland,1.1765272000925866,0.956896551724138,19.8,5.8,19.6,4237.0,-627.0,-417.0,-14.0
24031701505,Census Tract 7015.05; Montgomery County; Maryland,0.6416166688041777,0.8620689655172413,16.0,13.6,13.4,2666.0,-576.0,-368.0,-4.0
24031704803,Census Tract 7048.03; Montgomery County; Maryland,0.2587586016844718,0.7672413793103449,14.2,6.3,11.8,851.0,-546.0,-406.0,-14.0
24031705602,Census Tract 7056.02; Montgomery County; Maryland,1.494023364292255,0.9741379310344828,19.9,9.5,15.6,1148.0,-448.0,-681.0,-11.0
24031705501,Census Tract 7055.01; Montgomery County; Maryland,0.6751069677263828,0.8879310344827587,30.1,6.0,11.5,1221.0,-292.0,-647.0,-7.0
24031701800,Census Tract 7018; Montgomery County; Maryland,0.7454709346051441,0.896551724137931,18.9,12.5,12.9,5903.0,-208.0,-139.0,-5.0
24031702502,Census Tract 7025.02; Montgomery County; Maryland,0.952912004034246,0.9353448275862069,29.4,12.6,14.0,5949.0,-201.0,-148.0,-6.0
24031701900,Census Tract 7019; Montgomery County; Maryland,1.4161807144185383,0.9655172413793104,23.3,38.9,7.2,5521.0,-182.0,-128.0,-4.0
24031702503,Census Tract 7025.03; Montgomery County; Maryland,0.9663601708191788,0.9396551724137931,32.8,8.3,14.9,6962.0,-178.0,-145.0,-4.0
24031704805,Census Tract 7048.05; Montgomery County; Maryland,0.908511321588018,0.9267241379310344,32.1,8.7,10.3,1994.0,-167.0,-116.0,-4.0
24031702402,Census Tract 7024.02; Montgomery County; Maryland,0.4058265972951654,0.8275862068965517,23.9,5.7,9.9,7699.0,-139.0,-105.0,-4.0
24031701701,Census Tract 7017.01; Montgomery County; Maryland,0.6531302709012985,0.875,21.4,9.6,10.1,4000.0,-123.0,-75.0,-3.0
24031702101,Census Tract 7021.01; Montgomery County; Maryland,0.5768261835250816,0.8491379310344828,14.2,16.9,9.6,4252.0,-119.0,-76.0,-4.0
24031700728,Census Tract 7007.28; Montgomery County; Maryland,0.8176711575903214,0.9051724137931034,18.1,15.3,11.6,5673.0,-90.0,-141.0,-2.0
24031702900,Census Tract 7029; Montgomery County; Maryland,0.2758898733218046,0.7801724137931034,17.5,2.1,11.5,7543.0,-81.0,-69.0,-2.0
