feed_label,feed_role,catchment_miles,GEOID,accessible_stop_count,weekday_total_trips_accessible,weekend_total_trips_accessible,weekday_peak_trips_per_hour_accessible,mean_weekday_span_hours,mean_weekend_span_hours,max_weekday_span_hours,max_weekend_span_hours,weekday_analysis_date,weekend_analysis_date,tract_name,total_population,pct_households_no_vehicle,pct_people_below_poverty,pct_age_65_plus,pct_disabled,median_household_income,race_ethnicity_total_population,non_hispanic_white_alone,non_hispanic_black_alone,non_hispanic_asian_alone,hispanic_or_latino,pct_people_of_color,pct_households_no_vehicle_z,pct_people_below_poverty_z,pct_age_65_plus_z,pct_disabled_z,transit_need_index,transit_need_percentile,transit_need_quartile,weekday_trips_per_1000_residents,weekend_trips_per_1000_residents,accessible_stops_per_1000_residents
2024_january,early_pre_implementation_context,0.25,24031705601,51.0,1472.0,1563.0,82.75,16.49627450980392,14.103000000000002,16.917,15.267,2024-01-16,2024-01-20,Census Tract 7056.01; Montgomery County; Maryland,3359.0,0.6,4.3,13.4,4.0,250001.0,3359.0,2295.0,137.0,137.0,386.0,31.676094075617744,-0.9204417687096952,-0.5358702182791145,-0.4180290238418657,-1.2475885836465404,-0.7804823986193039,0.021551724137931,low,438.2256623995237,465.3170586484073,15.18309020541828
2024_january,early_pre_implementation_context,0.25,24031705501,32.0,1269.0,1379.0,83.25,17.2989375,15.200125,19.5,18.75,2024-01-16,2024-01-20,Census Tract 7055.01; Montgomery County; Maryland,2185.0,30.1,6.0,15.0,11.5,172778.0,2185.0,1351.0,52.0,473.0,189.0,38.16933638443936,2.790824559232542,-0.2502272745174133,-0.2596090405339529,0.4194396267243555,0.6751069677263828,0.8879310344827587,high,580.7780320366132,631.1212814645309,14.645308924485125
2024_january,early_pre_implementation_context,0.25,24031705701,58.0,1929.0,1877.0,105.5,16.54501724137931,14.259637931034483,16.917,15.267,2024-01-16,2024-01-20,Census Tract 7057.01; Montgomery County; Maryland,4837.0,6.2,4.9,17.4,5.3,205000.0,4837.0,3651.0,297.0,365.0,331.0,24.519330163324376,-0.2159301945918467,-0.4350550616573375,-0.0219790655720838,-0.9586370271822516,-0.4079003372508799,0.2629310344827586,moderate_low,398.8009096547447,388.0504444903866,11.990903452553237
2024_january,early_pre_implementation_context,0.25,24031705702,67.0,2150.0,1840.0,121.25,16.557029850746268,14.082373134328359,16.917,15.267,2024-01-16,2024-01-20,Census Tract 7057.02; Montgomery County; Maryland,4855.0,0.6,2.3,25.6,9.4,222125.0,4855.0,3676.0,35.0,277.0,651.0,24.284243048403702,-0.9204417687096952,-0.8719207403517043,0.7899233488809696,-0.0473282721794952,-0.2624418580899813,0.4353448275862069,moderate_low,442.84243048403704,378.9907312049433,13.80020597322348
2024_january,early_pre_implementation_context,0.25,24031705901,77.0,1796.0,445.0,142.0,14.900766233766232,14.682473684210526,17.433,14.818,2024-01-16,2024-01-20,Census Tract 7059.01; Montgomery County; Maryland,4262.0,9.5,3.4,25.9,7.4,250001.0,4262.0,2964.0,228.0,587.0,383.0,30.45518535898639,0.1992284115847424,-0.68709295321178,0.819627095751203,-0.4918691282784008,-0.0400266435385588,0.5948275862068966,moderate_high,421.3984045049273,104.41107461285782,18.066635382449554
2024_january,early_pre_implementation_context,0.25,24031706009,21.0,248.0,84.0,25.75,8.27547619047619,12.829,14.667,12.831,2024-01-16,2024-01-20,Census Tract 7060.09; Montgomery County; Maryland,5148.0,0.5,4.1,23.1,6.3,250001.0,5148.0,3690.0,152.0,627.0,408.0,28.321678321678323,-0.933022332533228,-0.5694752704863736,0.5423921249623558,-0.736366599132799,-0.4241180192975112,0.2284482758620689,low,48.174048174048174,16.317016317016318,4.0792540792540795
2024_january,early_pre_implementation_context,0.25,24031700610,27.0,1049.0,698.0,78.25,16.505259259259258,14.793041666666667,19.167,16.267,2024-01-16,2024-01-20,Census Tract 7006.10; Montgomery County; Maryland,2015.0,0.4,1.9,26.0,7.6,163810.0,2015.0,1206.0,93.0,307.0,321.0,40.148883374689824,-0.9456028963567612,-0.9391308447662222,0.8295283447079477,-0.4474150426685104,-0.3756551097708864,0.293103448275862,moderate_low,520.5955334987593,346.4019851116625,13.399503722084367
2024_january,early_pre_implementation_context,0.25,24031706008,16.0,159.0,0.0,23.75,9.0863125,,12.817,,2024-01-16,2024-01-20,Census Tract 7060.08; Montgomery County; Maryland,5353.0,3.2,3.1,26.1,6.8,250001.0,5353.0,3595.0,85.0,921.0,201.0,32.8413973472819,-0.593347109297837,-0.7375005315226683,0.8394295936646924,-0.6252313851080726,-0.2791623580659713,0.4094827586206896,moderate_low,29.702970297029704,0.0,2.9889781430973286
2024_january,early_pre_implementation_context,0.25,24031705800,90.0,2127.0,1558.0,144.0,13.727611111111113,13.921465517241378,16.915,15.266,2024-01-16,2024-01-20,Census Tract 7058; Montgomery County; Maryland,6126.0,2.4,2.0,21.3,5.3,247207.0,6126.0,4733.0,271.0,460.0,231.0,22.73914462944825,-0.6939916198861009,-0.9223283186625928,0.3641696437409538,-0.9586370271822516,-0.552696830497498,0.1163793103448275,low,347.2086190009794,254.3258243552073,14.691478942213516
2024_january,early_pre_implementation_context,0.25,24031701303,36.0,1056.0,561.0,86.75,13.39586111111111,15.886764705882353,19.318,16.32,2024-01-16,2024-01-20,Census Tract 7013.03; Montgomery County; Maryland,3729.0,0.5,3.0,28.5,9.4,216917.0,3729.0,2480.0,105.0,552.0,379.0,33.49423437919013,-0.933022332533228,-0.7543030576262978,1.0770595686265614,-0.0473282721794952,-0.1643985234281149,0.5043103448275862,moderate_high,283.1858407079646,150.44247787610618,9.654062751407883
2024_january,early_pre_implementation_context,0.25,24031701408,14.0,248.0,0.0,26.5,13.790357142857143,,14.5,,2024-01-16,2024-01-20,Census Tract 7014.08; Montgomery County; Maryland,5358.0,0.0,5.2,21.2,7.9,143966.0,5358.0,2217.0,1136.0,749.0,1073.0,58.62262038073908,-0.9959251516508932,-0.3846474833464491,0.3542683947842091,-0.3807339142536744,-0.3517595386167018,0.3232758620689655,moderate_low,46.28592758491975,0.0,2.612915266890631
2024_january,early_pre_implementation_context,0.25,24031701308,59.0,705.0,0.0,77.25,10.629627118644068,,14.957,,2024-01-16,2024-01-20,Census Tract 7013.08; Montgomery County; Maryland,4968.0,1.3,3.4,19.9,10.4,146967.0,4968.0,1963.0,1318.0,892.0,563.0,60.487117552334944,-0.8323778219449641,-0.68709295321178,0.2255521583465299,0.1749421558699575,-0.2797441152350642,0.4051724137931034,moderate_low,141.9082125603865,0.0,11.876006441223833
2024_january,early_pre_implementation_context,0.25,24031701210,16.0,839.0,666.0,65.75,17.0415,14.84075,17.764,15.75,2024-01-16,2024-01-20,Census Tract 7012.10; Montgomery County; Maryland,3879.0,2.0,3.3,22.6,8.2,250001.0,3879.0,2537.0,102.0,778.0,250.0,34.59654550141789,-0.7443138751802331,-0.7038954793154094,0.492885880178633,-0.3140527858388388,-0.317344065038962,0.3577586206896552,moderate_low,216.2928589842743,171.6937354988399,4.124774426398556
2024_january,early_pre_implementation_context,0.25,24031700902,90.0,7813.0,5450.0,525.75,19.176355555555556,17.81219318181818,20.899,19.929,2024-01-16,2024-01-20,Census Tract 7009.02; Montgomery County; Maryland,4299.0,0.4,3.0,16.1,13.2,118821.0,4299.0,1695.0,541.0,785.0,1191.0,60.57222609909281,-0.9456028963567612,-0.7543030576262978,-0.1506953020097627,0.797299354408425,-0.2633254753960992,0.4310344827586206,moderate_low,1817.3993952081878,1267.7366829495231,20.9351011863224
2024_january,early_pre_implementation_context,0.25,24031703404,48.0,1635.0,1194.0,115.75,14.118020833333333,15.455486486486485,19.591,17.219,2024-01-16,2024-01-20,Census Tract 7034.04; Montgomery County; Maryland,3778.0,3.4,16.8,14.1,7.1,99318.0,3778.0,169.0,244.0,156.0,2982.0,95.5267337215458,-0.5681859816507709,1.564445544674571,-0.348720281144654,-0.5585502566932368,0.0222472562964773,0.6293103448275862,moderate_high,432.76866066701956,316.04023292747485,12.70513499205929
