feed_label,feed_role,transit_need_quartile,n_tracts,mean_weekday_trips_accessible,median_weekday_trips_accessible,mean_weekend_trips_accessible,mean_accessible_stop_count,mean_weekday_trips_per_1000_residents
2024_january,early_pre_implementation_context,low,58,1820.655172413793,1505.0,1044.2241379310344,52.706896551724135,425.6862155197715
2024_january,early_pre_implementation_context,moderate_low,58,2237.8793103448274,1922.5,1475.7068965517242,53.827586206896555,520.1779067348358
2024_january,early_pre_implementation_context,moderate_high,58,2292.706896551724,1997.5,1418.9655172413793,53.44827586206897,533.0232697447925
2024_january,early_pre_implementation_context,high,58,3033.1724137931033,2355.5,2083.551724137931,54.672413793103445,820.7242159456922
2024_may,pre_implementation_context,low,58,1823.448275862069,1517.5,1044.844827586207,52.91379310344828,426.2922914914281
2024_may,pre_implementation_context,moderate_low,58,2238.396551724138,1922.5,1475.7068965517242,53.87931034482759,520.3490087458547
2024_may,pre_implementation_context,moderate_high,58,2293.137931034483,1997.5,1419.2758620689656,53.51724137931034,533.1263286270832
2024_may,pre_implementation_context,high,58,3033.1724137931033,2355.5,2083.551724137931,54.672413793103445,820.7242159456922
2024_september,pre_implementation_context,low,58,1848.9137931034484,1529.0,1048.6206896551723,53.3448275862069,431.183859002805
2024_september,pre_implementation_context,moderate_low,58,2215.2241379310344,1937.0,1469.896551724138,53.94827586206897,513.9318767599573
2024_september,pre_implementation_context,moderate_high,58,2267.310344827586,1997.5,1409.948275862069,53.53448275862069,526.6192677102046
2024_september,pre_implementation_context,high,58,2985.206896551724,2389.0,2066.103448275862,54.810344827586206,808.8291690410581
2025_january,primary_pre_phase1_baseline,low,58,1826.3103448275863,1516.0,1044.0,53.224137931034484,425.2760275577444
2025_january,primary_pre_phase1_baseline,moderate_low,58,2173.8793103448274,1846.5,1459.4655172413793,53.93103448275862,503.56733574021797
2025_january,primary_pre_phase1_baseline,moderate_high,58,2219.2586206896553,1905.5,1395.9827586206898,53.48275862068966,515.8091262650656
2025_january,primary_pre_phase1_baseline,high,58,2944.7413793103447,2310.0,2044.448275862069,54.793103448275865,797.5936979013318
2025_june,primary_post_phase1_feed,low,58,1823.3103448275863,1464.0,1005.1206896551724,50.827586206896555,425.2860322463182
2025_june,primary_post_phase1_feed,moderate_low,58,2240.689655172414,1895.5,1461.7586206896551,52.672413793103445,512.8338799814909
2025_june,primary_post_phase1_feed,moderate_high,58,2237.6724137931033,1972.0,1404.6896551724137,51.327586206896555,519.2245310803926
2025_june,primary_post_phase1_feed,high,58,2918.6206896551726,2431.5,1987.396551724138,51.310344827586206,790.6427801455422
2025_september,post_phase1_followup,low,58,1809.0344827586207,1483.0,1005.5172413793103,50.810344827586206,421.6836762842852
2025_september,post_phase1_followup,moderate_low,58,2231.603448275862,1895.5,1460.051724137931,52.53448275862069,511.02087420717953
2025_september,post_phase1_followup,moderate_high,58,2222.4137931034484,1952.0,1400.5,51.1551724137931,515.8638185702423
2025_september,post_phase1_followup,high,58,2906.051724137931,2411.0,1985.4137931034484,51.327586206896555,787.5925523391152
2026_may_current,published_current_feed_as_of_2026_04_30,low,58,1807.1206896551723,1482.0,1002.2068965517242,50.775862068965516,421.3720270021899
2026_may_current,published_current_feed_as_of_2026_04_30,moderate_low,58,2214.0344827586205,1895.5,1451.5862068965516,52.310344827586206,506.4978348704784
2026_may_current,published_current_feed_as_of_2026_04_30,moderate_high,58,2207.3793103448274,1952.0,1391.9655172413793,51.01724137931034,512.3613216846483
2026_may_current,published_current_feed_as_of_2026_04_30,high,58,2880.344827586207,2411.0,1970.9137931034484,51.10344827586207,780.769625105174
