feed_label,stop_id,stop_name,stop_lat,stop_lon,weekday_analysis_date,weekday_total_trips,weekday_routes_serving_stop,weekday_peak_trips_per_hour,weekday_span_hours,weekday_first_departure_time,weekday_last_departure_time,weekend_analysis_date,weekend_total_trips,weekend_span_hours
2024_september,3722,LAKEFOREST TRANSIT CENTER & ODENDHAL AVE,39.152837,-77.199007,2024-09-10,609,7,40.25,21.267,04:39:00,25:55:00,2024-09-14,455.0,19.9
2024_september,15182,GERMANTOWN TRANSIT CENTER & BAY B,39.183001,-77.261095,2024-09-10,573,7,35.75,21.3,04:15:00,25:33:00,2024-09-14,405.0,20.6
2024_september,5036,POWDER MILL RD & NEW HAMPSHIRE AVE,39.021931,-76.9779,2024-09-10,281,5,19.5,20.783,04:30:00,25:17:00,2024-09-14,192.0,20.15
2024_september,6008,SHADY GROVE STATION & BAY E - EAST,39.120563,-77.163665,2024-09-10,253,2,17.25,19.467,04:52:00,24:20:00,2024-09-14,122.0,16.0
2024_september,14776,SHADY GROVE STATION & BAY A - WEST,39.119559,-77.164734,2024-09-10,250,5,16.75,20.6,05:00:00,25:36:00,2024-09-14,133.0,19.05
2024_september,15324,S CAMPUS DR & CAMPUS DR,39.096382,-77.158109,2024-09-10,249,2,15.25,20.95,05:00:00,25:57:00,2024-09-14,195.0,20.117
2024_september,1094,COLESVILLE RD & FENTON ST,38.997315,-77.027143,2024-09-10,241,9,16.75,19.967,04:46:51,24:44:53,2024-09-14,161.0,18.994
2024_september,9182,GLENMONT STATION & BAY C,39.062422,-77.052514,2024-09-10,238,8,20.0,19.967,05:21:00,25:19:00,2024-09-14,123.0,19.817
2024_september,4644,ODENDHAL AVE & RUSSELL AVE,39.150853,-77.203111,2024-09-10,232,5,14.0,21.192,04:42:14,25:53:44,2024-09-14,177.0,19.15
2024_september,4648,ODENDHAL AVE & RUSSELL AVE,39.151504,-77.202001,2024-09-10,232,5,13.75,20.246,04:39:58,24:54:44,2024-09-14,176.0,19.25
2024_september,5542,ROCKVILLE PIKE & MARINELLI RD,39.048142,-77.113201,2024-09-10,225,6,17.75,21.0,04:35:00,25:35:00,2024-09-14,124.0,18.833
2024_september,4906,PINEY BRANCH RD & ARLISS ST,38.998362,-77.000948,2024-09-10,213,5,15.0,20.765,04:48:29,25:34:24,2024-09-14,165.0,20.268
2024_september,4910,PINEY BRANCH RD & BARRON ST,38.998949,-76.997534,2024-09-10,213,5,15.0,20.763,04:49:17,25:35:05,2024-09-14,165.0,20.27
2024_september,4904,PINEY BRANCH RD & FLOWER AVE,38.99824,-77.002984,2024-09-10,213,5,15.0,20.767,04:48:00,25:34:00,2024-09-14,165.0,20.267
2024_september,4908,PINEY BRANCH RD & GARLAND AVE,38.998569,-76.999107,2024-09-10,213,5,15.0,20.764,04:48:55,25:34:46,2024-09-14,165.0,20.269
2024_september,10055,PINEY BRANCH RD & ARLISS ST,38.998545,-77.000799,2024-09-10,211,5,14.75,20.736,04:26:01,25:10:09,2024-09-14,167.0,20.75
2024_september,4932,PINEY BRANCH RD & BARRON ST,38.999307,-76.997056,2024-09-10,211,5,14.75,20.738,04:24:56,25:09:14,2024-09-14,167.0,20.75
2024_september,4938,PINEY BRANCH RD & FLOWER AVE,38.998188,-77.004052,2024-09-10,211,5,14.5,20.733,04:27:00,25:11:00,2024-09-14,167.0,20.75
2024_september,4934,PINEY BRANCH RD & GARLAND AVE,38.998789,-76.999079,2024-09-10,211,5,14.75,20.737,04:25:32,25:09:44,2024-09-14,167.0,20.75
2024_september,4936,PINEY BRANCH RD & GREENWOOD AVE,38.998424,-77.002807,2024-09-10,211,5,14.75,20.734,04:26:34,25:10:38,2024-09-14,167.0,20.75
2024_september,4940,PINEY BRANCH RD & MANCHESTER RD,38.99721,-77.005031,2024-09-10,211,5,14.5,20.733,04:27:21,25:11:19,2024-09-14,167.0,20.749
2024_september,4930,PINEY BRANCH RD & UNIVERSITY BLVD,38.99954,-76.996178,2024-09-10,211,5,14.75,20.739,04:24:41,25:09:01,2024-09-14,167.0,20.75
2024_september,5660,ROCKVILLE STATION & BAY E - WEST,39.084619,-77.146918,2024-09-10,211,3,15.0,19.15,05:10:00,24:19:00,2024-09-14,106.0,15.967
2024_september,14677,GEORGIA AVE & ELLSWORTH DR,38.995167,-77.027014,2024-09-10,210,6,14.0,20.189,05:01:37,25:12:56,2024-09-14,166.0,19.505
2024_september,30120,SILVER SPRING STATION & BAY 229,38.994041,-77.030027,2024-09-10,210,1,15.75,19.283,05:30:00,24:47:00,2024-09-14,152.0,19.117
2024_september,4148,MONROE ST & MONROE PL,39.083344,-77.148877,2024-09-10,204,6,14.0,19.569,05:08:44,24:42:52,2024-09-14,119.0,18.819
2024_september,4150,MONROE ST & MONROE PL,39.08304,-77.149088,2024-09-10,204,6,13.5,20.648,05:10:44,25:49:35,2024-09-14,119.0,18.978
2024_september,5610,ROCKVILLE PIKE & MARINELLI RD,39.047381,-77.113209,2024-09-10,204,5,15.5,20.317,05:27:00,25:46:00,2024-09-14,106.0,19.417
2024_september,308,BETHESDA STATION & BAY E,38.984798,-77.095371,2024-09-10,198,5,15.0,18.067,05:13:00,23:17:00,2024-09-14,73.0,15.517
2024_september,14601,SHADY GROVE STATION & BAY C - EAST,39.120751,-77.163278,2024-09-10,194,3,12.5,19.117,04:58:00,24:05:00,2024-09-14,141.0,16.7
2024_september,17071,MANNAKEE ST & CAMPUS (E) DR,39.096111,-77.156881,2024-09-10,193,2,12.0,20.9,05:01:57,25:55:56,2024-09-14,154.0,19.347
2024_september,3832,MANNAKEE ST & CAMPUS DR,39.096046,-77.156588,2024-09-10,193,2,12.25,19.963,05:00:29,24:58:16,2024-09-14,154.0,19.929
2024_september,3834,MANNAKEE ST & HUNGERFORD DR,39.09638,-77.154467,2024-09-10,193,2,12.25,19.958,05:01:09,24:58:38,2024-09-14,154.0,19.924
2024_september,3836,MANNAKEE ST & HUNGERFORD DR,39.096429,-77.154941,2024-09-10,193,2,12.0,20.899,05:01:30,25:55:28,2024-09-14,154.0,19.346
2024_september,3714,LOST KNIFE RD & CIDER MILL APTS,39.15628,-77.202226,2024-09-10,186,4,12.5,21.185,04:46:13,25:57:19,2024-09-14,142.0,19.424
2024_september,15554,PINEY BRANCH RD & UNIVERSITY BLVD,38.999349,-76.99619,2024-09-10,186,4,13.0,20.762,04:49:37,25:35:22,2024-09-14,144.0,20.271
2024_september,1080,CLUB HOUSE RD & MONTGOMERY VILLAGE AVE,39.174381,-77.205516,2024-09-10,185,4,12.25,21.217,04:50:00,26:03:00,2024-09-14,114.0,19.883
2024_september,6330,TAKOMA STATION & BAY H,38.975629,-77.017007,2024-09-10,185,5,13.5,20.55,04:25:00,24:57:59,2024-09-14,134.0,20.033
2024_september,3718,LOST KNIFE RD & CONTOUR RD,39.154583,-77.201011,2024-09-10,184,4,12.0,20.246,04:38:14,24:53:00,2024-09-14,139.0,19.199
2024_september,3716,LOST KNIFE RD & MONTGOMERY VILLAGE AVE,39.157317,-77.203813,2024-09-10,184,4,12.25,20.245,04:37:14,24:51:57,2024-09-14,139.0,19.196
2024_september,4944,PINEY BRANCH RD & DALE DR,38.993871,-77.008971,2024-09-10,184,4,13.25,20.1,04:48:00,24:54:00,2024-09-14,147.0,19.508
2024_september,8216,ROCKVILLE STATION & BAY B - EAST,39.084947,-77.146424,2024-09-10,175,2,12.25,19.95,05:05:00,25:02:00,2024-09-14,117.0,16.667
2024_september,8836,SHAKESPEARE BLVD & MILESTONE PARK & RIDE,39.197523,-77.249316,2024-09-10,175,5,9.75,20.444,04:59:00,25:25:40,2024-09-14,102.0,18.831
2024_september,5850,2ND AVE & @1400,38.996788,-77.032958,2024-09-10,171,6,12.25,20.561,05:32:29,26:06:07,2024-09-14,106.0,18.939
2024_september,2178,FENTON ST & BONIFANT ST,38.994651,-77.024246,2024-09-10,169,4,11.0,20.189,05:05:07,25:16:28,2024-09-14,146.0,19.512
2024_september,16038,FENTON ST & COLESVILLE RD,38.997287,-77.026624,2024-09-10,169,4,11.25,20.19,05:03:19,25:14:42,2024-09-14,146.0,19.509
2024_september,16011,FENTON ST & ELLSWORTH DR,38.99664,-77.025286,2024-09-10,169,4,11.25,20.187,05:04:06,25:15:20,2024-09-14,146.0,19.51
2024_september,4820,PARKLAWN DR & TWINBROOK PKWY,39.061683,-77.117143,2024-09-10,167,4,12.5,20.017,04:48:44,24:49:44,2024-09-14,112.0,18.916
2024_september,8834,SHAKESPEARE BLVD & FREDERICK RD,39.198327,-77.245726,2024-09-10,165,5,9.75,20.443,04:58:26,25:25:00,2024-09-14,102.0,18.833
2024_september,17484,SILVER SPRING STATION & BAY 222,38.993784,-77.030334,2024-09-10,162,2,10.75,20.833,04:35:00,25:25:00,2024-09-14,116.0,20.85
2024_september,4902,PINEY BRANCH RD & MANCHESTER RD,38.99722,-77.004816,2024-09-10,161,4,11.0,20.765,04:47:21,25:33:16,2024-09-14,117.0,20.265
2024_september,8974,SOMERVILLE DR & @15910,39.117809,-77.166695,2024-09-10,161,4,9.75,20.342,04:52:34,25:13:04,2024-09-14,122.0,19.173
2024_september,6110,SOMERVILLE DR & REDLAND RD,39.117687,-77.165477,2024-09-10,161,4,10.25,20.464,05:07:33,25:35:24,2024-09-14,124.0,19.3
2024_september,6112,SOMERVILLE DR & REDLAND RD,39.117331,-77.165183,2024-09-10,160,4,10.0,20.323,04:54:00,25:13:23,2024-09-14,122.0,19.167
2024_september,1154,COLESVILLE RD & SPRING ST,38.998359,-77.026699,2024-09-10,158,7,11.75,19.983,04:49:56,24:48:56,2024-09-14,94.0,19.117
