feed_label,stop_id,stop_name,stop_lat,stop_lon,weekday_analysis_date,weekday_total_trips,weekday_routes_serving_stop,weekday_peak_trips_per_hour,weekday_span_hours,weekday_first_departure_time,weekday_last_departure_time,weekend_analysis_date,weekend_total_trips,weekend_span_hours
2025_june,3722,LAKEFOREST TRANSIT CENTER & ODENDHAL AVE,39.152837,-77.199007,2025-07-01,607,7,39.0,21.267,04:39:00,25:55:00,2025-07-05,459.0,19.9
2025_june,15182,GERMANTOWN TRANSIT CENTER & BAY B,39.183001,-77.261095,2025-07-01,574,7,35.5,21.3,04:15:00,25:33:00,2025-07-05,406.0,20.6
2025_june,15324,S CAMPUS DR & CAMPUS DR,39.096382,-77.158109,2025-07-01,403,3,26.25,21.033,04:55:00,25:57:00,2025-07-05,314.0,20.117
2025_june,6008,SHADY GROVE STATION & BAY E - EAST,39.120563,-77.163666,2025-07-01,268,2,17.25,19.467,04:52:00,24:20:00,2025-07-05,132.0,16.133
2025_june,14776,SHADY GROVE STATION & BAY A - WEST,39.119559,-77.164734,2025-07-01,250,5,16.75,20.6,05:00:00,25:36:00,2025-07-05,133.0,19.05
2025_june,9182,GLENMONT STATION & BAY C,39.062422,-77.052514,2025-07-01,241,8,19.75,19.967,05:21:00,25:19:00,2025-07-05,119.0,19.667
2025_june,7184,WHEATON STATION & BAY K,39.037982,-77.05119,2025-07-01,239,3,16.5,21.817,04:28:00,26:17:00,2025-07-05,175.0,21.3
2025_june,1094,COLESVILLE RD & FENTON ST,38.997315,-77.027143,2025-07-01,236,9,16.25,19.967,04:46:48,24:44:48,2025-07-05,161.0,18.993
2025_june,4644,ODENDHAL AVE & RUSSELL AVE,39.150853,-77.203111,2025-07-01,232,5,14.25,21.189,04:42:14,25:53:35,2025-07-05,179.0,19.043
2025_june,4648,ODENDHAL AVE & RUSSELL AVE,39.151504,-77.202001,2025-07-01,232,5,13.5,20.245,04:40:01,24:54:44,2025-07-05,178.0,19.251
2025_june,3324,HUNGERFORD DR & FREDERICK AVE,39.094031,-77.153179,2025-07-01,231,4,15.75,20.838,05:04:00,25:54:16,2025-07-05,177.0,19.154
2025_june,3326,HUNGERFORD DR & FREDERICK AVE,39.094349,-77.153506,2025-07-01,229,4,15.75,20.034,04:57:26,24:59:27,2025-07-05,175.0,19.917
2025_june,6800,VEIRS MILL RD & ENNALLS AVE,39.039709,-77.054637,2025-07-01,224,5,14.25,21.452,04:28:52,25:55:59,2025-07-05,165.0,20.952
2025_june,5542,ROCKVILLE PIKE & MARINELLI RD,39.048142,-77.113201,2025-07-01,219,6,17.0,21.0,04:35:00,25:35:00,2025-07-05,124.0,18.833
2025_june,6844,VEIRS MILL RD & UNIVERSITY W BLVD,39.03968,-77.055133,2025-07-01,218,5,14.25,20.852,05:24:23,26:15:29,2025-07-05,151.0,20.421
2025_june,14677,GEORGIA AVE & ELLSWORTH DR,38.995167,-77.027014,2025-07-01,210,6,14.0,20.189,05:01:37,25:12:56,2025-07-05,166.0,19.505
2025_june,5654,ROCKVILLE STATION & BAY A - WEST,39.083915,-77.146126,2025-07-01,210,2,12.0,21.467,04:49:00,26:17:00,2025-07-05,163.0,21.117
2025_june,4906,PINEY BRANCH RD & ARLISS ST,38.998276,-77.001442,2025-07-01,209,5,14.75,20.804,04:49:29,25:37:44,2025-07-05,160.0,20.268
2025_june,4910,PINEY BRANCH RD & BARRON ST,38.998949,-76.997534,2025-07-01,209,5,14.75,20.811,04:50:17,25:38:58,2025-07-05,160.0,20.27
2025_june,4904,PINEY BRANCH RD & FLOWER AVE,38.99824,-77.002984,2025-07-01,209,5,14.75,20.8,04:49:00,25:37:00,2025-07-05,160.0,20.267
2025_june,4908,PINEY BRANCH RD & GARLAND AVE,38.998569,-76.999107,2025-07-01,209,5,14.75,20.808,04:49:55,25:38:24,2025-07-05,160.0,20.269
2025_june,5036,POWDER MILL RD & NEW HAMPSHIRE AVE,39.021931,-76.9779,2025-07-01,209,4,15.25,20.783,04:30:00,25:17:00,2025-07-05,112.0,20.15
2025_june,5660,ROCKVILLE STATION & BAY E - WEST,39.084619,-77.146918,2025-07-01,207,3,14.25,19.15,05:10:00,24:19:00,2025-07-05,106.0,15.967
2025_june,10055,PINEY BRANCH RD & ARLISS ST,38.998545,-77.000799,2025-07-01,206,5,14.25,20.75,04:26:01,25:11:01,2025-07-05,162.0,20.75
2025_june,4932,PINEY BRANCH RD & BARRON ST,38.999307,-76.997056,2025-07-01,206,5,14.5,20.75,04:24:56,25:09:56,2025-07-05,162.0,20.75
2025_june,4938,PINEY BRANCH RD & FLOWER AVE,38.998188,-77.004052,2025-07-01,206,5,14.25,20.75,04:27:00,25:12:00,2025-07-05,162.0,20.75
2025_june,4934,PINEY BRANCH RD & GARLAND AVE,38.998789,-76.999079,2025-07-01,206,5,14.5,20.75,04:25:32,25:10:32,2025-07-05,162.0,20.75
2025_june,4936,PINEY BRANCH RD & GREENWOOD AVE,38.998424,-77.002807,2025-07-01,206,5,14.25,20.75,04:26:34,25:11:34,2025-07-05,162.0,20.75
2025_june,4940,PINEY BRANCH RD & MANCHESTER RD,38.99721,-77.005031,2025-07-01,206,5,14.25,20.751,04:27:21,25:12:24,2025-07-05,162.0,20.749
2025_june,4930,PINEY BRANCH RD & UNIVERSITY BLVD,38.99954,-76.996178,2025-07-01,206,5,14.5,20.75,04:24:41,25:09:41,2025-07-05,162.0,20.75
2025_june,4148,MONROE ST & MONROE PL,39.083344,-77.148877,2025-07-01,199,6,13.5,19.652,05:03:45,24:42:52,2025-07-05,119.0,18.819
2025_june,4150,MONROE ST & MONROE PL,39.08304,-77.149088,2025-07-01,199,6,13.25,20.646,05:10:48,25:49:35,2025-07-05,119.0,18.978
2025_june,5610,ROCKVILLE PIKE & MARINELLI RD,39.047381,-77.113209,2025-07-01,199,5,14.75,20.4,05:22:00,25:46:00,2025-07-05,106.0,19.417
2025_june,308,BETHESDA STATION & BAY E,38.984798,-77.095371,2025-07-01,198,5,15.0,18.25,05:13:00,23:28:00,2025-07-05,73.0,15.517
2025_june,17071,MANNAKEE ST & CAMPUS (E) DR,39.096111,-77.156881,2025-07-01,192,2,11.75,20.894,05:02:16,25:55:56,2025-07-05,158.0,19.342
2025_june,3832,MANNAKEE ST & CAMPUS DR,39.096046,-77.156588,2025-07-01,192,2,11.75,20.049,04:55:29,24:58:25,2025-07-05,158.0,19.932
2025_june,3834,MANNAKEE ST & HUNGERFORD DR,39.09638,-77.154467,2025-07-01,192,2,11.75,20.044,04:56:09,24:58:46,2025-07-05,158.0,19.927
2025_june,3836,MANNAKEE ST & HUNGERFORD DR,39.096429,-77.154941,2025-07-01,192,2,11.75,20.893,05:01:53,25:55:28,2025-07-05,158.0,19.34
2025_june,30120,SILVER SPRING STATION & BAY 229,38.994041,-77.030027,2025-07-01,191,1,14.0,19.367,05:25:00,24:47:00,2025-07-05,152.0,19.117
2025_june,14601,SHADY GROVE STATION & BAY C - EAST,39.120751,-77.163278,2025-07-01,190,3,11.75,19.117,04:58:00,24:05:00,2025-07-05,138.0,16.7
2025_june,6110,SOMERVILLE DR & REDLAND RD,39.117687,-77.165477,2025-07-01,188,5,12.25,20.464,05:07:33,25:35:24,2025-07-05,126.0,19.208
2025_june,3714,LOST KNIFE RD & CIDER MILL APTS,39.15628,-77.202226,2025-07-01,186,4,12.25,21.185,04:46:13,25:57:18,2025-07-05,144.0,19.38
2025_june,6112,SOMERVILLE DR & REDLAND RD,39.117331,-77.165183,2025-07-01,186,5,11.75,20.299,04:55:26,25:13:23,2025-07-05,124.0,19.167
2025_june,1080,CLUB HOUSE RD & MONTGOMERY VILLAGE AVE,39.174381,-77.205516,2025-07-01,185,4,12.25,21.217,04:50:00,26:03:00,2025-07-05,114.0,19.883
2025_june,6330,TAKOMA STATION & BAY H,38.975629,-77.017007,2025-07-01,185,5,13.5,20.55,04:25:00,24:57:59,2025-07-05,134.0,20.033
2025_june,3718,LOST KNIFE RD & CONTOUR RD,39.154583,-77.201011,2025-07-01,184,4,11.5,20.246,04:38:15,24:53:00,2025-07-05,141.0,19.198
2025_june,3716,LOST KNIFE RD & MONTGOMERY VILLAGE AVE,39.157317,-77.203813,2025-07-01,184,4,11.75,20.245,04:37:14,24:51:57,2025-07-05,141.0,19.195
2025_june,4944,PINEY BRANCH RD & DALE DR,38.993871,-77.008971,2025-07-01,184,4,13.25,20.1,04:48:00,24:54:00,2025-07-05,147.0,19.507
2025_june,15554,PINEY BRANCH RD & UNIVERSITY BLVD,38.999349,-76.99619,2025-07-01,182,4,12.75,20.814,04:50:37,25:39:29,2025-07-05,139.0,20.271
2025_june,6814,VEIRS MILL RD & CLARIDGE RD,39.048473,-77.068976,2025-07-01,182,4,12.0,21.459,04:32:29,26:00:03,2025-07-05,124.0,20.959
2025_june,6812,VEIRS MILL RD & PENDLETON DR,39.0468,-77.067241,2025-07-01,182,4,12.5,21.458,04:31:56,25:59:26,2025-07-05,124.0,20.958
2025_june,8836,SHAKESPEARE BLVD & MILESTONE PARK & RIDE,39.197523,-77.249316,2025-07-01,172,5,9.75,20.433,04:59:00,25:25:00,2025-07-05,104.0,18.833
2025_june,2178,FENTON ST & BONIFANT ST,38.994651,-77.024246,2025-07-01,169,4,11.0,20.189,05:05:08,25:16:28,2025-07-05,146.0,19.512
2025_june,16038,FENTON ST & COLESVILLE RD,38.997287,-77.026624,2025-07-01,169,4,11.25,20.186,05:03:33,25:14:42,2025-07-05,146.0,19.509
2025_june,16011,FENTON ST & ELLSWORTH DR,38.99664,-77.025286,2025-07-01,169,4,11.25,20.187,05:04:07,25:15:20,2025-07-05,146.0,19.51
2025_june,8216,ROCKVILLE STATION & BAY B - EAST,39.084947,-77.146424,2025-07-01,167,2,11.0,19.95,05:05:00,25:02:00,2025-07-05,111.0,16.667
2025_june,6816,VEIRS MILL RD & ANDREW ST,39.049953,-77.071362,2025-07-01,166,3,10.25,21.461,04:33:05,26:00:43,2025-07-05,124.0,20.961
2025_june,6804,VEIRS MILL RD & GALT AVE,39.041534,-77.058023,2025-07-01,166,3,10.75,21.454,04:29:40,25:56:53,2025-07-05,124.0,20.954
2025_june,6806,VEIRS MILL RD & MONTERREY DR,39.042896,-77.060615,2025-07-01,166,3,10.75,21.455,04:30:17,25:57:35,2025-07-05,124.0,20.955
2025_june,6808,VEIRS MILL RD & MONTERREY DR,39.044053,-77.062868,2025-07-01,166,3,10.75,21.456,04:30:49,25:58:11,2025-07-05,124.0,20.956
2025_june,6810,VEIRS MILL RD & NEWPORT MILL RD,39.045035,-77.064615,2025-07-01,166,3,10.75,21.457,04:31:14,25:58:39,2025-07-05,124.0,20.957
2025_june,6802,VEIRS MILL RD & UNIVERSITY W BLVD,39.040346,-77.055777,2025-07-01,166,3,10.75,21.452,04:29:08,25:56:17,2025-07-05,124.0,20.952
2025_june,8834,SHAKESPEARE BLVD & FREDERICK RD,39.198327,-77.245726,2025-07-01,164,5,9.75,20.443,04:58:26,25:25:00,2025-07-05,104.0,18.833
2025_june,6826,VEIRS MILL RD & CENTERHILL ST,39.050171,-77.072563,2025-07-01,164,3,10.5,20.861,05:19:07,26:10:47,2025-07-05,122.0,20.439
2025_june,6840,VEIRS MILL RD & COLLEGE VIEW DR,39.041679,-77.058861,2025-07-01,164,3,10.75,20.854,05:23:18,26:14:31,2025-07-05,122.0,20.425
2025_june,6824,VEIRS MILL RD & CONNECTICUT AVE,39.051647,-77.075087,2025-07-01,164,3,10.5,20.862,05:18:22,26:10:07,2025-07-05,122.0,20.442
2025_june,6828,VEIRS MILL RD & GAIL ST,39.049453,-77.070979,2025-07-01,164,3,10.5,20.86,05:19:33,26:11:10,2025-07-05,122.0,20.438
2025_june,6834,VEIRS MILL RD & NEWPORT MILL RD,39.044885,-77.064923,2025-07-01,164,3,10.5,20.857,05:21:34,26:12:58,2025-07-05,122.0,20.431
2025_june,6836,VEIRS MILL RD & NORRIS DR,39.044054,-77.063332,2025-07-01,164,3,10.5,20.856,05:22:01,26:13:22,2025-07-05,122.0,20.429
2025_june,6838,VEIRS MILL RD & SCHOOLHOUSE CIR,39.042722,-77.06082,2025-07-01,164,3,10.75,20.855,05:22:44,26:14:01,2025-07-05,122.0,20.427
2025_june,6842,VEIRS MILL RD & UNIVERSITY W BLVD,39.040242,-77.056245,2025-07-01,164,3,10.75,20.852,05:24:04,26:15:12,2025-07-05,122.0,20.422
2025_june,8974,SOMERVILLE DR & @15910,39.117809,-77.166695,2025-07-01,162,4,9.75,20.332,04:53:08,25:13:04,2025-07-05,124.0,19.17
2025_june,5850,2ND AVE & @1400,38.996788,-77.032958,2025-07-01,160,6,10.75,20.561,05:32:29,26:06:07,2025-07-05,103.0,18.939
2025_june,2494,S FREDERICK AVE & S WESTLAND DR,39.126292,-77.182941,2025-07-01,159,3,11.5,20.302,05:22:00,25:40:09,2025-07-05,92.0,19.248
2025_june,4902,PINEY BRANCH RD & MANCHESTER RD,38.99722,-77.004816,2025-07-01,157,4,10.75,20.796,04:48:16,25:36:03,2025-07-05,112.0,20.265
2025_june,4654,OLD GEORGETOWN RD & COMMERCE LN,38.98603,-77.09623,2025-07-01,156,6,11.25,19.407,05:11:45,24:36:10,2025-07-05,77.0,18.75
2025_june,4656,OLD GEORGETOWN RD & WOODMONT AVE,38.986518,-77.097025,2025-07-01,156,6,11.25,19.405,05:12:10,24:36:27,2025-07-05,77.0,18.75
2025_june,8838,SHAKESPEARE BLVD & OBSERVATION DR,39.197542,-77.252824,2025-07-01,156,4,9.75,20.667,04:45:00,25:25:00,2025-07-05,104.0,18.833
2025_june,4728,OLD GEORGETOWN RD & ARLINGTON RD,38.987188,-77.098391,2025-07-01,155,6,11.5,19.238,05:11:58,24:26:14,2025-07-05,77.0,18.167
2025_june,2654,S FREDERICK AVE & S WESTLAND DR,39.125636,-77.182524,2025-07-01,154,3,11.75,20.315,04:48:49,25:07:42,2025-07-05,91.0,19.183
2025_june,16024,COLESVILLE RD & SPRING ST,38.998812,-77.026165,2025-07-01,153,7,11.0,19.922,04:47:22,24:42:42,2025-07-05,97.0,18.989
2025_june,1460,CONTOUR RD & HORIZON RUN RD,39.155856,-77.198464,2025-07-01,153,3,9.25,20.611,05:19:47,25:56:28,2025-07-05,119.0,19.119
2025_june,1462,CONTOUR RD & LOST KNIFE RD,39.15529,-77.200613,2025-07-01,153,3,9.25,20.611,05:20:11,25:56:51,2025-07-05,119.0,19.111
2025_june,1456,CONTOUR RD & ODENDHAL AVE,39.152762,-77.195989,2025-07-01,153,3,9.25,20.612,05:18:57,25:55:40,2025-07-05,119.0,19.136
2025_june,1458,CONTOUR RD & TUNSTALL DR,39.154378,-77.196693,2025-07-01,153,3,9.25,20.612,05:19:20,25:56:02,2025-07-05,119.0,19.128
2025_june,4640,ODENDHAL AVE & FREDERICK AVE,39.148614,-77.206481,2025-07-01,153,3,9.25,21.193,04:41:10,25:52:46,2025-07-05,119.0,19.058
2025_june,4642,ODENDHAL AVE & RUSSELL AVE,39.150007,-77.204669,2025-07-01,153,3,9.25,21.191,04:41:46,25:53:14,2025-07-05,119.0,19.05
2025_june,17484,SILVER SPRING STATION & BAY 222,38.993784,-77.030334,2025-07-01,153,2,10.25,20.833,04:35:00,25:25:00,2025-07-05,106.0,20.85
2025_june,1154,COLESVILLE RD & SPRING ST,38.998359,-77.026699,2025-07-01,152,7,11.25,19.983,04:49:59,24:48:59,2025-07-05,94.0,19.117
