feed_label,stop_id,stop_name,stop_lat,stop_lon,weekday_analysis_date,weekday_total_trips,weekday_routes_serving_stop,weekday_peak_trips_per_hour,weekday_span_hours,weekday_first_departure_time,weekday_last_departure_time,weekend_analysis_date,weekend_total_trips,weekend_span_hours
2026_may_current,3722,LAKEFOREST TRANSIT CENTER & ODENDHAL AVE,39.152837,-77.199007,2026-05-05,607,7,38.5,21.417,04:30:00,25:55:00,2026-05-09,459.0,19.967
2026_may_current,15182,GERMANTOWN TRANSIT CENTER & BAY B,39.183001,-77.261095,2026-05-05,569,7,34.5,21.433,04:15:00,25:41:00,2026-05-09,402.0,20.767
2026_may_current,15324,S CAMPUS DR & CAMPUS DR,39.096382,-77.158109,2026-05-05,403,3,26.0,21.033,04:55:00,25:57:00,2026-05-09,314.0,20.117
2026_may_current,30266,TRAVILLE TRANSIT CENTER & BAY C,39.092924,-77.202332,2026-05-05,269,2,20.0,17.133,05:10:00,22:18:00,2026-05-09,116.0,16.2
2026_may_current,6008,SHADY GROVE STATION & BAY E,39.120563,-77.163666,2026-05-05,268,2,17.25,19.467,04:52:00,24:20:00,2026-05-09,132.0,16.117
2026_may_current,1094,COLESVILLE RD & FENTON ST,38.997315,-77.027143,2026-05-05,234,9,15.75,19.953,04:46:48,24:43:58,2026-05-09,160.0,19.013
2026_may_current,4644,ODENDHAL AVE & RUSSELL AVE,39.150853,-77.203111,2026-05-05,232,5,14.0,21.219,04:40:27,25:53:35,2026-05-09,179.0,19.218
2026_may_current,4648,ODENDHAL AVE & RUSSELL AVE,39.151504,-77.202001,2026-05-05,232,5,13.5,20.398,04:30:51,24:54:42,2026-05-09,178.0,19.284
2026_may_current,3324,HUNGERFORD DR & FREDERICK AVE,39.094031,-77.153179,2026-05-05,231,4,15.5,20.76,05:08:41,25:54:16,2026-05-09,177.0,19.053
2026_may_current,3326,HUNGERFORD DR & FREDERICK AVE,39.094349,-77.153506,2026-05-05,229,4,15.25,19.95,04:57:26,24:54:25,2026-05-09,175.0,19.95
2026_may_current,6012,SHADY GROVE STATION & BAY L,39.119838,-77.16497,2026-05-05,227,2,18.75,20.133,04:53:00,25:01:00,2026-05-09,117.0,19.4
2026_may_current,6800,VEIRS MILL RD & ENNALLS AVE,39.039709,-77.054637,2026-05-05,224,5,14.25,21.467,04:29:46,25:57:46,2026-05-09,165.0,20.95
2026_may_current,6844,VEIRS MILL RD & UNIVERSITY W BLVD,39.03968,-77.055133,2026-05-05,218,5,14.0,20.836,05:20:48,26:10:57,2026-05-09,151.0,20.346
2026_may_current,17587,TAKOMA-LANGLEY TRANSIT CENTER & BAY F,38.990095,-76.988292,2026-05-05,210,2,11.75,21.367,04:20:00,25:42:00,2026-05-09,159.0,21.383
2026_may_current,14677,GEORGIA AVE & ELLSWORTH DR,38.995167,-77.027014,2026-05-05,208,6,13.5,20.183,05:01:57,25:12:56,2026-05-09,165.0,19.516
2026_may_current,5036,POWDER MILL RD & NEW HAMPSHIRE AVE,39.021931,-76.9779,2026-05-05,207,4,14.75,20.6,04:30:00,25:06:00,2026-05-09,110.0,20.15
2026_may_current,5660,ROCKVILLE STATION & BAY E,39.084619,-77.146918,2026-05-05,207,3,14.25,19.15,05:10:00,24:19:00,2026-05-09,106.0,15.967
2026_may_current,4906,PINEY BRANCH RD & ARLISS ST,38.998276,-77.001442,2026-05-05,206,5,14.0,20.75,04:50:25,25:35:25,2026-05-09,159.0,20.284
2026_may_current,4910,PINEY BRANCH RD & BARRON ST,38.998949,-76.997534,2026-05-05,206,5,14.0,20.75,04:51:31,25:36:31,2026-05-09,159.0,20.287
2026_may_current,4904,PINEY BRANCH RD & FLOWER AVE,38.99824,-77.002984,2026-05-05,206,5,14.0,20.75,04:50:00,25:35:00,2026-05-09,159.0,20.283
2026_may_current,4908,PINEY BRANCH RD & GARLAND AVE,38.998471,-76.999612,2026-05-05,206,5,14.0,20.75,04:50:55,25:35:55,2026-05-09,159.0,20.285
2026_may_current,9182,GLENMONT STATION & BAY C,39.062422,-77.052514,2026-05-05,204,7,17.75,20.017,05:28:00,25:29:00,2026-05-09,88.0,19.95
2026_may_current,10055,PINEY BRANCH RD & ARLISS ST,38.998545,-77.000799,2026-05-05,203,5,13.75,20.75,04:26:01,25:11:01,2026-05-09,161.0,20.833
2026_may_current,4932,PINEY BRANCH RD & BARRON ST,38.999307,-76.997056,2026-05-05,203,5,13.75,20.75,04:24:56,25:09:56,2026-05-09,161.0,20.833
2026_may_current,4938,PINEY BRANCH RD & FLOWER AVE,38.998188,-77.004052,2026-05-05,203,5,13.75,20.75,04:27:00,25:12:00,2026-05-09,161.0,20.833
2026_may_current,4934,PINEY BRANCH RD & GARLAND AVE,38.998789,-76.999079,2026-05-05,203,5,13.75,20.75,04:25:32,25:10:32,2026-05-09,161.0,20.833
2026_may_current,4936,PINEY BRANCH RD & GREENWOOD AVE,38.998424,-77.002807,2026-05-05,203,5,13.5,20.75,04:26:34,25:11:34,2026-05-09,161.0,20.833
2026_may_current,4940,PINEY BRANCH RD & MANCHESTER RD,38.99721,-77.005031,2026-05-05,203,5,13.75,20.75,04:27:21,25:12:21,2026-05-09,161.0,20.834
2026_may_current,4930,PINEY BRANCH RD & UNIVERSITY BLVD,38.99954,-76.996178,2026-05-05,203,5,13.75,20.75,04:24:41,25:09:41,2026-05-09,161.0,20.833
2026_may_current,4148,MONROE ST & MONROE PL,39.083344,-77.148877,2026-05-05,199,6,13.5,19.652,05:03:45,24:42:52,2026-05-09,120.0,18.819
2026_may_current,4150,MONROE ST & MONROE PL,39.08304,-77.149088,2026-05-05,199,6,13.25,20.646,05:10:48,25:49:35,2026-05-09,120.0,18.978
2026_may_current,5610,NORTH BETHESDA STATION & BAY C,39.047381,-77.113209,2026-05-05,199,5,15.25,20.367,05:22:00,25:44:00,2026-05-09,106.0,19.45
2026_may_current,17071,MANNAKEE ST & CAMPUS (E) DR,39.096111,-77.156881,2026-05-05,192,2,11.75,20.928,05:00:16,25:55:56,2026-05-09,158.0,19.327
2026_may_current,3832,MANNAKEE ST & CAMPUS DR,39.096046,-77.156588,2026-05-05,192,2,11.5,19.981,04:55:29,24:54:22,2026-05-09,158.0,19.965
2026_may_current,3834,MANNAKEE ST & HUNGERFORD DR,39.09638,-77.154467,2026-05-05,192,2,11.75,19.976,04:56:09,24:54:44,2026-05-09,158.0,19.96
2026_may_current,3836,MANNAKEE ST & HUNGERFORD DR,39.096429,-77.154941,2026-05-05,192,2,11.75,20.926,04:59:56,25:55:28,2026-05-09,158.0,19.324
2026_may_current,30120,SILVER SPRING STATION & BAY 229,38.994041,-77.030027,2026-05-05,191,1,14.0,19.367,05:25:00,24:47:00,2026-05-09,152.0,19.15
2026_may_current,14601,SHADY GROVE STATION & BAY C,39.120751,-77.163278,2026-05-05,190,3,11.75,19.2,04:55:00,24:07:00,2026-05-09,138.0,16.717
2026_may_current,6110,SOMERVILLE DR & REDLAND RD,39.117687,-77.165477,2026-05-05,188,5,12.25,20.682,04:54:28,25:35:23,2026-05-09,126.0,19.345
2026_may_current,3714,LOST KNIFE RD & CIDER MILL APTS,39.15628,-77.202226,2026-05-05,186,4,12.25,21.185,04:46:13,25:57:18,2026-05-09,144.0,19.497
2026_may_current,1080,CLUB HOUSE RD & MONTGOMERY VILLAGE AVE,39.174381,-77.205516,2026-05-05,185,4,12.0,21.217,04:50:00,26:03:00,2026-05-09,114.0,19.883
2026_may_current,3718,LOST KNIFE RD & CONTOUR RD,39.154583,-77.201011,2026-05-05,184,4,12.0,20.25,04:38:07,24:53:07,2026-05-09,141.0,19.186
2026_may_current,3716,LOST KNIFE RD & MONTGOMERY VILLAGE AVE,39.157317,-77.203813,2026-05-05,184,4,11.75,20.249,04:36:56,24:51:51,2026-05-09,141.0,19.188
2026_may_current,6330,TAKOMA STATION & BAY H,38.975629,-77.017007,2026-05-05,183,5,13.25,20.65,04:25:00,25:04:00,2026-05-09,134.0,20.15
2026_may_current,15414,WHEATON STATION & BAY C,39.037727,-77.050917,2026-05-05,183,1,11.5,21.717,04:29:00,26:12:00,2026-05-09,139.0,21.217
2026_may_current,6814,VEIRS MILL RD & CLARIDGE RD,39.048473,-77.068976,2026-05-05,182,4,11.75,21.467,04:32:55,26:00:55,2026-05-09,124.0,20.95
2026_may_current,6812,VEIRS MILL RD & PENDLETON DR,39.0468,-77.067241,2026-05-05,182,4,12.25,21.467,04:32:26,26:00:26,2026-05-09,124.0,20.95
2026_may_current,5542,NORTH BETHESDA STATION & BAY B,39.048142,-77.113201,2026-05-05,181,4,14.0,20.967,04:37:00,25:35:00,2026-05-09,105.0,18.883
2026_may_current,15554,PINEY BRANCH RD & UNIVERSITY BLVD,38.999349,-76.99619,2026-05-05,179,4,12.25,20.75,04:51:55,25:36:55,2026-05-09,138.0,20.288
2026_may_current,8836,SHAKESPEARE BLVD & MILESTONE PARK & RIDE,39.197523,-77.249316,2026-05-05,172,5,10.0,20.561,04:59:00,25:32:40,2026-05-09,104.0,18.867
2026_may_current,2178,FENTON ST & BONIFANT ST,38.994651,-77.024246,2026-05-05,167,4,10.75,20.189,05:05:08,25:16:28,2026-05-09,145.0,19.536
2026_may_current,16038,FENTON ST & COLESVILLE RD,38.997287,-77.026624,2026-05-05,167,4,10.5,20.186,05:03:33,25:14:42,2026-05-09,145.0,19.526
2026_may_current,16011,FENTON ST & ELLSWORTH DR,38.99664,-77.025286,2026-05-05,167,4,10.75,20.187,05:04:07,25:15:20,2026-05-09,145.0,19.529
2026_may_current,8216,ROCKVILLE STATION & BAY J,39.084947,-77.146424,2026-05-05,167,2,11.25,20.0,05:05:00,25:05:00,2026-05-09,111.0,16.783
2026_may_current,6816,VEIRS MILL RD & ANDREW ST,39.049953,-77.071362,2026-05-05,166,3,10.25,21.467,04:33:26,26:01:26,2026-05-09,124.0,20.95
2026_may_current,6804,VEIRS MILL RD & GALT AVE,39.041534,-77.058023,2026-05-05,166,3,10.75,21.467,04:30:28,25:58:28,2026-05-09,124.0,20.95
2026_may_current,6806,VEIRS MILL RD & MONTERREY DR,39.042896,-77.060615,2026-05-05,166,3,10.75,21.467,04:31:00,25:59:00,2026-05-09,124.0,20.95
2026_may_current,6808,VEIRS MILL RD & MONTERREY DR,39.044053,-77.062868,2026-05-05,166,3,10.75,21.467,04:31:28,25:59:28,2026-05-09,124.0,20.95
2026_may_current,6810,VEIRS MILL RD & NEWPORT MILL RD,39.045035,-77.064615,2026-05-05,166,3,10.75,21.467,04:31:50,25:59:50,2026-05-09,124.0,20.95
