GEOID,tract_name,total_population,pct_households_no_vehicle,pct_people_below_poverty,pct_age_65_plus,pct_disabled,median_household_income
24031700101,Census Tract 7001.01; Montgomery County; Maryland,4783.0,0.4,4.3,22.4,13.4,192854.0
24031700103,Census Tract 7001.03; Montgomery County; Maryland,5515.0,2.8,3.0,23.0,9.8,211250.0
24031700104,Census Tract 7001.04; Montgomery County; Maryland,4778.0,3.3,12.6,15.2,8.1,99913.0
24031700105,Census Tract 7001.05; Montgomery County; Maryland,6929.0,4.7,4.8,11.5,7.6,127711.0
24031700204,Census Tract 7002.04; Montgomery County; Maryland,2304.0,0.9,5.8,29.1,18.7,130285.0
24031700206,Census Tract 7002.06; Montgomery County; Maryland,5508.0,3.3,3.3,14.3,9.3,159932.0
24031700207,Census Tract 7002.07; Montgomery County; Maryland,5827.0,1.8,5.8,11.9,7.3,122267.0
24031700208,Census Tract 7002.08; Montgomery County; Maryland,2746.0,2.1,3.4,18.6,16.2,155114.0
24031700209,Census Tract 7002.09; Montgomery County; Maryland,4716.0,0.0,1.3,19.8,7.3,193737.0
24031700210,Census Tract 7002.10; Montgomery County; Maryland,8741.0,5.1,5.4,10.5,6.4,166667.0
24031700306,Census Tract 7003.06; Montgomery County; Maryland,7880.0,5.1,3.1,10.7,7.4,147210.0
24031700308,Census Tract 7003.08; Montgomery County; Maryland,6769.0,7.0,5.5,11.6,5.7,128568.0
24031700309,Census Tract 7003.09; Montgomery County; Maryland,5889.0,9.0,12.9,14.9,9.8,95424.0
24031700310,Census Tract 7003.10; Montgomery County; Maryland,6580.0,5.6,12.4,8.3,9.8,95767.0
24031700313,Census Tract 7003.13; Montgomery County; Maryland,3905.0,3.0,4.8,9.2,6.1,119646.0
24031700314,Census Tract 7003.14; Montgomery County; Maryland,3616.0,0.0,1.6,20.7,9.6,205988.0
24031700315,Census Tract 7003.15; Montgomery County; Maryland,6286.0,1.9,2.5,8.7,5.4,221090.0
24031700316,Census Tract 7003.16; Montgomery County; Maryland,3997.0,4.8,4.4,9.4,8.5,160750.0
