GEOID,tract_name,race_ethnicity_total_population,non_hispanic_white_alone,non_hispanic_black_alone,non_hispanic_asian_alone,hispanic_or_latino
24031700101,Census Tract 7001.01; Montgomery County; Maryland,4783.0,3101.0,469.0,353.0,618.0
24031700103,Census Tract 7001.03; Montgomery County; Maryland,5515.0,3128.0,804.0,771.0,611.0
24031700104,Census Tract 7001.04; Montgomery County; Maryland,4778.0,1123.0,1440.0,461.0,1609.0
24031700105,Census Tract 7001.05; Montgomery County; Maryland,6929.0,1905.0,2268.0,861.0,989.0
24031700204,Census Tract 7002.04; Montgomery County; Maryland,2304.0,1709.0,96.0,25.0,287.0
24031700206,Census Tract 7002.06; Montgomery County; Maryland,5508.0,3324.0,406.0,446.0,828.0
24031700207,Census Tract 7002.07; Montgomery County; Maryland,5827.0,2357.0,714.0,402.0,1789.0
24031700208,Census Tract 7002.08; Montgomery County; Maryland,2746.0,1766.0,131.0,205.0,477.0
24031700209,Census Tract 7002.09; Montgomery County; Maryland,4716.0,3188.0,405.0,223.0,569.0
24031700210,Census Tract 7002.10; Montgomery County; Maryland,8741.0,1848.0,1411.0,3650.0,1208.0
24031700306,Census Tract 7003.06; Montgomery County; Maryland,7880.0,2145.0,1612.0,1894.0,1465.0
24031700308,Census Tract 7003.08; Montgomery County; Maryland,6769.0,2176.0,1375.0,981.0,1531.0
24031700309,Census Tract 7003.09; Montgomery County; Maryland,5889.0,1172.0,2274.0,704.0,1397.0
24031700310,Census Tract 7003.10; Montgomery County; Maryland,6580.0,2063.0,1852.0,1389.0,1018.0
24031700313,Census Tract 7003.13; Montgomery County; Maryland,3905.0,1000.0,1674.0,935.0,190.0
24031700314,Census Tract 7003.14; Montgomery County; Maryland,3616.0,993.0,473.0,1660.0,459.0
24031700315,Census Tract 7003.15; Montgomery County; Maryland,6286.0,1355.0,787.0,3045.0,599.0
24031700316,Census Tract 7003.16; Montgomery County; Maryland,3997.0,716.0,595.0,1346.0,1069.0
24031700317,Census Tract 7003.17; Montgomery County; Maryland,8670.0,3024.0,1286.0,2796.0,1196.0
24031700318,Census Tract 7003.18; Montgomery County; Maryland,3643.0,1359.0,641.0,870.0,542.0
24031700400,Census Tract 7004; Montgomery County; Maryland,2462.0,1659.0,251.0,63.0,419.0
24031700500,Census Tract 7005; Montgomery County; Maryland,7428.0,5262.0,182.0,460.0,948.0
24031700604,Census Tract 7006.04; Montgomery County; Maryland,7051.0,5034.0,117.0,1136.0,518.0
24031700606,Census Tract 7006.06; Montgomery County; Maryland,4164.0,1883.0,454.0,1520.0,99.0
24031700608,Census Tract 7006.08; Montgomery County; Maryland,5632.0,2841.0,306.0,1878.0,362.0
